t_start,t_stop,Cstat,dof,A,Epeak,alpha,beta,A_err_low,A_err_high,A_err_rel(%),Epeak_err_low,Epeak_err_high,Epeak_err_rel(%),alpha_err_low,alpha_err_high,alpha_err_rel(%),beta_err_low,beta_err_high,beta_err_rel(%)
5.0,6.0,137.9415452181007,348,0.04946328111345552,511.49886259038976,-0.9402291425488905,-2.9679368887228064,0.0025807699920927796,0.0026030839141088155,5.2401031527924955,57.61013800878442,64.83277570455846,11.969030888285243,0.06444781720717185,0.06999882878675745,7.149674473472209,7.032063111277194,0.7599844439465371,131.27043881611792
6.0,7.0,136.23633421427525,348,0.0753362021328188,521.2161928942405,-0.8857600152814198,-2.3954731411707377,0.0029005207122065335,0.0029249222867955837,3.866297234317558,40.913395325213344,44.030448194720634,8.148619006659475,0.04916714254182686,0.05194551656239421,5.707678003059102,0.9528605191797697,0.28273182625793547,25.790152354491337
7.0,8.0,134.10590287586444,348,0.08937840463994737,527.5139331284518,-0.9015327980357113,-2.654826553629349,0.0030394358070416766,0.0030642940055574663,3.4145439478291504,36.91817368078483,39.49826814720143,7.2430733132292975,0.04275596157440642,0.04482509831963932,4.85734185627357,7.3451734463706515,0.38988708372462133,145.67920679264074
8.0,9.0,156.71671580645088,348,0.09908332240106725,442.9265351383874,-0.8933616081681013,-2.7411384570317283,0.003294881526444582,0.003321207870722931,3.3386493492754785,28.641335222810824,30.416314649931564,6.666754550423412,0.04100548372990409,0.043058263323707546,4.704911554571393,7.258861542968272,0.4324789852893707,140.29463758985554
9.0,10.0,154.2985836426311,348,0.09420001164427247,342.8318846224756,-0.8870845915657344,-2.653433059556122,0.003489911002599405,0.0035188908515428746,3.7201703756734235,23.103588934783374,24.5606282529821,6.951543792411989,0.04303152229342799,0.04545277023785088,4.987364980328488,7.3465669404438785,0.3939507753584581,145.8585451765119
10.0,11.0,152.00672050854214,348,0.07062526114765282,278.19827310473556,-0.958406644863722,-3.0329851516683726,0.003322994128848622,0.0033510013220209994,4.724935060357952,24.24404862869514,26.370560391578465,9.09685895160433,0.04855037249136307,0.05179319427051532,5.234916060924561,6.967014848331628,0.7290750034869946,126.87318709069821
11.0,12.0,138.55699566383208,348,0.05466811253792712,253.38731649427064,-1.050199810710232,-3.425960447889886,0.0030348275463295896,0.003059642531499117,5.574063009401087,28.069412428458264,31.564599102286763,11.767363172673525,0.05263526425468856,0.05665531464308815,5.203323109716873,6.574039552110114,1.1301810149781693,112.43884283359806
12.0,13.0,111.72677339057529,348,0.05053659951895928,247.84206881930368,-1.0948770574403288,-2.8946913883160144,0.0029064857472839156,0.002929171511784144,5.773694030282704,30.260202688125247,34.59367991516643,13.083711516823895,0.0530085313556492,0.0571227544943147,5.0293905193079675,7.105308611683986,0.7739799372051297,136.0989392633128
13.0,14.0,128.11164815442103,348,0.05408247912573835,209.26150570705067,-1.0364625865434771,-3.1381439320821265,0.0032315707576420424,0.0032581277815239423,5.999816062497658,23.056184282469616,25.798461393230326,11.673108608922208,0.05340880636652212,0.0575286401114834,5.351734250629024,6.8618560679178735,0.9546638311137943,124.54049381102617
14.0,15.0,117.71709728779683,348,0.061899234958570186,253.00066893017356,-0.9887938139047451,-2.66864061914166,0.003244044506035104,0.003270271924449973,5.262033072658473,24.92295103096268,27.485135002597815,10.35730187101299,0.05180316897131798,0.05563244615299168,5.432660156926276,7.3313593808583395,0.5346690714106792,147.37893884713188
